pattern,request_every_seconds,burst_size,seed,policy,focus_station,window_start_seconds,window_end_seconds,arrival_end_seconds,schedule_id,scheduled,served,remaining,skipped,peak_pending,peak_focus_approaching,peak_focus_entrance_stopped,peak_focus_exit_stopped,peak_focus_occupied_berths,peak_focus_reserved_empty_berths,queue_cleared,queue_clear_seconds,wait_average_seconds,wait_maximum_seconds,passenger_distance_meters,empty_distance_meters,loaded_distance_percent,positioning_moves
hub-burst,5,12,1,off,station-01,0,1800,245,2c085e2a60a19890,59,59,0,0,48,25,8,2,3,3,true,1080,533.5324858757062,1079.6833333333334,221624.23213499258,279124.3858997133,44.258580883319034,0
hub-burst,5,12,1,on,station-01,0,1800,245,2c085e2a60a19890,59,59,0,0,48,25,8,2,3,5,true,1054,527.3299435028249,1053.2833333333333,222430.04939797957,322448.7118405902,40.821934202825496,16
hub-burst,5,12,2,off,station-01,0,1800,245,3c6a9450efd04c72,59,59,0,0,48,25,8,2,3,3,true,1084,532.6624293785311,1083.4833333333333,233786.88031371566,268941.10959410644,46.503653070238194,0
hub-burst,5,12,2,on,station-01,0,1800,245,3c6a9450efd04c72,59,59,0,0,48,25,8,2,4,5,true,1075,528.8186440677966,1074.3333333333333,233645.0731461663,305753.1048886467,43.315881043092205,14
hub-burst,5,12,3,off,station-01,0,1800,245,68463546a0467e76,59,59,0,0,48,25,8,2,3,3,true,1028,530.4005649717515,1027.45,232403.88307736517,257685.47494921726,47.420716094137184,0
hub-burst,5,12,3,on,station-01,0,1800,245,68463546a0467e76,59,59,0,0,48,25,8,2,3,6,true,1066,527.9646892655368,1065.9333333333334,232136.81971538815,302022.29378283664,43.45836546625908,14
hub-burst,5,12,4,off,station-01,0,1800,245,f7401d76ac14b8ea,59,59,0,0,48,25,8,2,3,3,true,1054,532.8790960451977,1053.6833333333334,221205.12520027024,276878.00879225845,44.41128600905172,0
hub-burst,5,12,4,on,station-01,0,1800,245,f7401d76ac14b8ea,59,59,0,0,48,25,8,2,3,5,true,1036,529.624011299435,1035.7666666666667,220584.07532950985,326836.2251470377,40.2951945949911,16
hub-burst,5,12,5,off,station-01,0,1800,245,d3057dca1db748b4,59,59,0,0,48,25,8,2,3,3,true,1024,531.9666666666667,1023.9333333333333,243640.1509871492,272525.274563506,47.20195094958736,0
hub-burst,5,12,5,on,station-01,0,1800,245,d3057dca1db748b4,59,59,0,0,48,25,8,2,5,6,true,1051,527.878813559322,1050.7833333333333,243287.93924387541,324167.11422533967,42.8735170753174,21
